"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","CALL CENTER","3","0","Agents","0"
"2","","0","CALL CENTER","4","0","Preset query service","0"
"1","","0","CALL CENTER","0","0","Lookups","0"
"0","","0","SETTINGS","5","2","System settings","0"
"9","","0","CALL CENTER","0","0","Skills Service","0"
"0","","0","AUTH","2","0","Signup","0"
"7","","0","DEVICES","0","0","Devices","0"
"2","","0","USERS","0","0","User","0"
"3","","0","USERS","2","1","Users","0"
"0","","0","AUTH","3","2","Login","0"
