"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","433","test__call_center__agents_by_id__skills__DELETE_200","tests","2026-08-29","passed","2026-08-29","","test__call_center__agents__skills","",""
"","388","test__call_center__agents_by_id__skills_by_id__PATCH_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__agents__skills","",""
"","381","test__call_center__preset_query__GET_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__preset_query","",""
"","394","test__call_center__lookups__agent__skills__GET_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__lookups","",""
"
    set system settings
    ","394","test__settings_id__PATCH_200","tests","2026-08-29","passed","2026-08-29","","test__settings","",""
"
    get system settings
    ","392","test__settings__GET_200","tests","2026-08-29","passed","2026-08-29","","test__settings","",""
"","661","test__call_center__skills__delete_by_id__DELETE_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__skills","",""
"","375","test__call_center__agents_by_id__skills__PATCH_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__agents__skills","",""
"
    login with new user on new domain
    ","259","test__auth__signin_with_new__POST_200","tests","2026-08-29","passed","2026-08-29","","test__auth","",""
"
    DELETE system setting by id
    ","0","test__settings_id__DELETE_200","tests","2026-08-29","skipped","2026-08-29","","test__settings","",""
"
    get device by id
    ","413","test__devices_id_users_audit__GET_200","tests","2026-08-29","broken","2026-08-29","","test__devices","",""
"
    get user data
    ","420","test__user__GET_200","tests","2026-08-29","broken","2026-08-29","","test__users__user","",""
"","394","test__call_center__skills_by_id_agents__GET_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__skills","",""
"","592","test__call_center__preset_query_by_id__DELETE_200","tests","2026-08-29","passed","2026-08-29","","test__call_center__preset_query","",""
"
    change user password
    ","890","test__users__password__PUT_200","tests","2026-08-29","passed","2026-08-29","","test__users__users","",""
"","395","test__call_center__skills__POST_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__skills","",""
"
    add user
    ","433","test__users__add__POST_200","tests","2026-08-29","passed","2026-08-29","","test__users__users","",""
"
    get user data by user id
    ","444","test__user_by_id__GET_200","tests","2026-08-29","broken","2026-08-29","","test__users__user","",""
"
    {""id"":""login_id"",""totp"":""your_totp""}
    ","0","test__auth__2fa__POST_200","tests","2026-08-29","skipped","2026-08-29","","test__auth","",""
"","398","test__call_center__skills__GET_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__skills","",""
"","393","test__call_center__preset_query_by_id__GET_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__preset_query","",""
"","599","test__call_center__agents_by_id__skills_by_id__DELETE_200","tests","2026-08-29","broken","2026-08-29","","test__call_center__agents__skills","",""
