"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    force_password_change"": True
    ","0","test__users_id__force_change_password__PUT_200","tests","2026-07-27","skipped","2026-07-27","","test__users__users","",""
"","404","test__call_center__skills__GET_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"
    change password in /settings/general
    ","461","test__users_id__change_password__PATCH_200","tests","2026-07-27","broken","2026-07-27","","test__users__users","",""
"
    get system settings
    ","386","test__settings__GET_200","tests","2026-07-27","broken","2026-07-27","","test__settings","",""
"","447","test__call_center__skills_by_id_agents__POST_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"
    delete devices
    ","709","test__devices_by_id__DELETE_200","tests","2026-07-27","broken","2026-07-27","","test__devices","",""
"
    get device by id
    ","397","test__devices_id_users_audit__GET_200","tests","2026-07-27","broken","2026-07-27","","test__devices","",""
"","386","test__call_center__skills_by_id__GET_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"
    get available system settings
    ","408","test__settings_available__GET_200","tests","2026-07-27","passed","2026-07-27","","test__settings","",""
"","622","test__call_center__skills_by_id_agents__DELETE_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"
    create new domain + first user
    check response

    response:
    {'access_token': 'access_token', 'token_type': 'Bearer'}
    ","481","test__auth__signup__POST_200","tests","2026-07-27","passed","2026-07-27","","test__auth","",""
"","397","test__call_center__preset_query_by_id__GET_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__preset_query","",""
"","455","test__call_center__skills_by_id__PUT_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"","396","test__call_center__preset_query__GET_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__preset_query","",""
"
    DELETE system setting by id
    ","0","test__settings_id__DELETE_200","tests","2026-07-27","skipped","2026-07-27","","test__settings","",""
"
    get system settings by id
    ","216","test__settings_id__GET_200","tests","2026-07-27","failed","2026-07-27","","test__settings","",""
"
    get user data by user id
    ","513","test__user_by_id__GET_200","tests","2026-07-27","broken","2026-07-27","","test__users__user","",""
"
    login without mobile mark
    ","235","test__auth__login__POST_200[without domain]","tests","2026-07-27","passed","2026-07-27","","test__auth","",""
"","393","test__call_center__skills_by_id_agents__PATCH_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"
    add new system setting
    ","0","test__settings__POST_200","tests","2026-07-27","skipped","2026-07-27","","test__settings","",""
"
    set system settings
    ","211","test__settings_id__PATCH_200","tests","2026-07-27","failed","2026-07-27","","test__settings","",""
"
    login with new user on new domain
    ","235","test__auth__signin_with_new__POST_200","tests","2026-07-27","passed","2026-07-27","","test__auth","",""
"
    change user password
    ","1251","test__users__password__PUT_200","tests","2026-07-27","passed","2026-07-27","","test__users__users","",""
"","0","test__auth__login_password__POST_200","tests","2026-07-27","skipped","2026-07-27","","test__auth","",""
"
    Create new device
    ","407","test__devices__POST_200","tests","2026-07-27","broken","2026-07-27","","test__devices","",""
"","393","test__call_center__preset_query_by_id__PUT_200","tests","2026-07-27","passed","2026-07-27","","test__call_center__preset_query","",""
"","644","test__call_center__preset_query_by_id__DELETE_200","tests","2026-07-27","passed","2026-07-27","","test__call_center__preset_query","",""
"","401","test__call_center__skills_by_id_agents__GET_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"
    get users
    ","433","test__users__GET_200","tests","2026-07-27","broken","2026-07-27","","test__users__users","",""
"","435","test__call_center__skills__POST_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"","388","test__call_center__preset_query__POST_200","tests","2026-07-27","passed","2026-07-27","","test__call_center__preset_query","",""
"
    login with mobile mark
    ","237","test__auth__login_mobile__POST_200","tests","2026-07-27","passed","2026-07-27","","test__auth","",""
"
    set system settings
    ","214","test__settings_id__PUT_200","tests","2026-07-27","failed","2026-07-27","","test__settings","",""
"
    {""id"":""login_id"",""totp"":""your_totp""}
    ","0","test__auth__2fa__POST_200","tests","2026-07-27","skipped","2026-07-27","","test__auth","",""
"
    get user data
    ","483","test__user__GET_200","tests","2026-07-27","broken","2026-07-27","","test__users__user","",""
"
    Change device params by id
    ","430","test__devices_by_id__PATCH_200","tests","2026-07-27","broken","2026-07-27","","test__devices","",""
"
    change password in /users/id/general
    ","453","test__users_id__change_password__PUT_200","tests","2026-07-27","broken","2026-07-27","","test__users__users","",""
"
    Change device name by id
    ","482","test__devices_by_id__PUT_200","tests","2026-07-27","broken","2026-07-27","","test__devices","",""
"
    get device by id
    ","414","test__devices_by_id__GET_200","tests","2026-07-27","broken","2026-07-27","","test__devices","",""
"
    login without mobile mark
    ","236","test__auth__login__POST_200[with domain]","tests","2026-07-27","passed","2026-07-27","","test__auth","",""
"","616","test__call_center__skills__delete_by_id__DELETE_200","tests","2026-07-27","broken","2026-07-27","","test__call_center__skills","",""
"
    get devices
    ","658","test__devices__GET_200","tests","2026-07-27","broken","2026-07-27","","test__devices","",""
"","401","test__call_center__preset_query_by_id__PATCH_200","tests","2026-07-27","passed","2026-07-27","","test__call_center__preset_query","",""
"
    add user
    ","419","test__users__add__POST_200","tests","2026-07-27","passed","2026-07-27","","test__users__users","",""
